name;cloneof
600;turtles
1941j;1941
1941r1;1941
1941u;1941
1942a;1942
1942abl;1942
1942b;1942
1942c64;1942
1942h;1942
1942w;1942
1943b;1943
1943b2;1943
1943bj;1943
1943j;1943
1943ja;1943
1943ja2;1943
1943u;1943
1943ua;1943
1944ad;1944
1944d;1944
1944j;1944
1945kiiin;1945kiii
1945kiiio;1945kiii
19xxa;19xx
19xxar1;19xx
19xxb;19xx
19xxd;19xx
19xxh;19xx
19xxj;19xx
19xxjr1;19xx
19xxjr2;19xx
2020bba;2020bb
2020bbh;2020bb
3countba;3countb
3wondersb;3wonders
3wondersh;3wonders
3wondersha;3wonders
3wondersr1;3wonders
3wondersu;3wonders
4enrayaa;4enraya
64streetj;64street
64streetja;64street
7toitsu;mgakuen
800fath;mariner
8bpm;8ballact
99lstwar;repulse
99lstwara;repulse
99lstwark;repulse
abcopd;abcop
abcopj;abcop
abcopjd;abcop
abscam;puckman
aburner;aburner2
aburner2g;aburner2
aceattaca;aceattac
acitya;bwcasino
actfancr1;actfancr
actfancrj;actfancr
aeroboto;formatz
aerofgtb;aerofgt
aerofgtc;aerofgt
agalleta;agallet
agalletah;agallet
agalletaj;agallet
agalletak;agallet
agalletat;agallet
agalletau;agallet
agalleth;agallet
agalletj;agallet
agalletk;agallet
agallett;agallet
agalletu;agallet
agentx1;cloak
agentx2;cloak
agentx3;cloak
agentx4;cloak
agressb;agress
airattcka;airattck
airbustrb;airbustr
airbustrj;airbustr
airduelm72;airduel
airwolfa;airwolf
ajaxj;ajax
akkanvdr;spcinv95
akumajou;hcastle
akumajoun;hcastle
alexkidd1;alexkidd
alibabab;alibaba
alienchac;aliencha
aliens2;aliens
aliens3;aliens
aliensa;aliens
aliensj;aliens
aliensj2;aliens
aliensu;aliens
aliensyn2;aliensyn
aliensyn3;aliensyn
aliensyn5;aliensyn
aliensyn7;aliensyn
aliensynj;aliensyn
aliensynjo;aliensyn
aligatorun;aligator
alpham2p;alpham2
alphamis;aso
alphaxz;m660
altbeast2;altbeast
altbeast4;altbeast
altbeast5;altbeast
altbeast5d;altbeast
altbeast6;altbeast
altbeastj;altbeast
altbeastj1;altbeast
altbeastj3;altbeast
altbeastj3d;altbeast
amatelas;amazon
ambushh;ambush
ambushj;ambush
ambushv;ambush
amidar1;amidar
amidarb;amidar
amidaro;amidar
amidars;amidar
amidaru;amidar
amigo;amidar
androidpo;androidp
anteaterg;anteater
anteateruk;anteater
aof2a;aof2
aof3k;aof3
aponow;rescue
aquajackj;aquajack
aquajacku;aquajack
aquariumj;aquarium
arabiana;arabian
arabianmj;arabianm
arabianmu;arabianm
aracnis;scorpion
area88;unsquad
area88r;unsquad
arian;aso
ark1ball;arkanoid
ark1balla;arkanoid
arkangc;arkanoid
arkangc2;arkanoid
arkanoidj;arkanoid
arkanoidja;arkanoid
arkanoidjb;arkanoid
arkanoidjbl;arkanoid
arkanoidjbl2;arkanoid
arkanoidjbla;arkanoid
arkanoidu;arkanoid
arkanoiduo;arkanoid
arkatayt;arkanoid
arkbloc2;arkanoid
arkblock;arkanoid
arkgcbl;arkanoid
arknoid2b;arknoid2
arknoid2j;arknoid2
arknoid2u;arknoid2
arkretrnj;arkretrn
arkretrnu;arkretrn
arktayt2;arkanoid
armedff;armedf
armorcar2;armorcar
armwar1d;armwar
armwara;armwar
armwarar1;armwar
armwarr1;armwar
armwaru;armwar
armwaru1;armwar
ashnojoe;scessjoe
ashuraj;ashura
ashurau;ashura
asideral;uniwars
assaultj;assault
assaultp;assault
asterixaad;asterix
asterixeaa;asterix
asterixeac;asterix
asterixj;asterix
astorm3;astorm
astorm3d;astorm
astormj;astorm
astormjd;astorm
astormu;astorm
astormud;astorm
astrians;galaxian
asukaj;asuka
asurabusa;asurabus
atetrisa;atetris
atetrisb;atetris
atetrisb2;atetris
atetrisc;atetris
atetrisc2;atetris
atlantis2;atlantis
atlantisb;atlantis
atlantol;trackfld
atomboy;wilytowr
atomboya;wilytowr
atompunk;dynablst
aurail1;aurail
aurail1d;aurail
aurailj;aurail
aurailjd;aurail
avefenix;phoenix
avefenixl;phoenix
avefenixrf;phoenix
avengers2;avengers
avspa;avsp
avspd;avsp
avsph;avsp
avspj;avsp
avspu;avsp
bagmanm2;bagman
bakubrkr;explbrkr
ballboy;snowbro3
bangbedp;bangbead
bangj;bang
baraduke;aliensec
baryona;baryon
batcira;batcir
batcird;batcir
batcirj;batcir
batlbubl;bangball
batman2;phoenix
batriderc;batrider
batriderhk;batrider
batriderj;batrider
batriderja;batrider
batriderk;batrider
batridert;batrider
batrideru;batrider
batsuguna;batsugun
batsugunb;batsugun
batsugunsp;batsugun
battlane2;battlane
battlane3;battlane
battlntsa;battlnts
battlntsj;battlnts
bayroute1;bayroute
bayrouted;bayroute
bayroutej;bayroute
bayroutejd;bayroute
bbakraidc;bbakraid
bbakraidj;bbakraid
bbakraidja;bbakraid
bballsa;bballs
bbmanwj;bbmanw
bbmanwja;bbmanw
bbredux;bublbobl
bbros;pang
bbustersj;bbusters
bbustersu;bbusters
bbustersua;bbusters
bcrusher;kncljoe
bcstrya;bcstry
beastfp;suprglob
berabohmb;berabohm
berlwallk;berlwall
berlwallt;berlwall
bermudata;worldwar
bermudatj;bermudat
bestleag;bigstrik
bestleaw;bigstrik
bgareggabl;bgaregga
bgareggabla;bgaregga
bgareggacn;bgaregga
bgareggahk;bgaregga
bgaregganv;bgaregga
bgareggat2;bgaregga
bgareggatw;bgaregga
bgareggaz;bgaregga
bigbang;tdragon2
bigfghtr;skyrobo
bigstrkb;bigstrik
bigstrkba;bigstrik
billiard;hustler
biomtoya;biomtoy
bionicc1;bionicc
bionicc2;bionicc
bioniccbl;bionicc
bioniccbl2;bionicc
bjtwina;bjtwin
bladestle;bladestl
bladestll;bladestl
blandiap;blandia
blkbustr;mrjong
blkdrgon;blktiger
blkdrgonb;blktiger
blkheartj;blkheart
blktigera;blktiger
blktigerb1;blktiger
blktigerb2;blktiger
blktigerb3;blktiger
blmbycaru;blmbycar
blockbl;block
blockj;block
blockout2;blockout
blockoutj;blockout
blockr1;block
blockr2;block
bloodbroa;bloodbro
bloodbrob;bloodbro
blox16b;bloxeed
bloxeedd;bloxeed
blswhstla;blswhstl
bluehawkn;bluehawk
blueprntj;blueprnt
bnj;brubber
boblbobl;bublbobl
boblcave;bublbobl
boggy84b;boggy84
bomber;scramble
bombjack2;bombjack
bombjackt;bombjack
bombkicka;bombkick
bombrman;dynablst
bonzeadvo;bonzeadv
bonzeadvp;bonzeadv
bonzeadvu;bonzeadv
boobhack;horekid
boogwinga;boogwing
boogwingu;boogwing
bottom9n;bottom9
bouldashj;bouldash
brapboysj;brapboys
brapboysu;brapboys
breywood;shackled
brix;zzyzzyxx
brkthruj;brkthru
bsharkj;bshark
bsharkjjs;bshark
bsharku;bshark
bstarsh;bstars
btime2;btime
btime3;btime
btimem;btime
btlfield;timesold
btlfieldb;timesold
btlkroadk;btlkroad
bub68705;bublbobl
bub68705a;bublbobl
bubblemj;bubblem
bubbletrj;bubbletr
bublbob2o;bublbob2
bublbob2p;bublbob2
bublbobl1;bublbobl
bublboblb;bublbobl
bublboblr;bublbobl
bublboblr1;bublbobl
bublboblu;bublbobl
bublcave;bublbobl
bublcave10;bublbobl
bublcave11;bublbobl
bubsymphe;bublbob2
bubsymphj;bublbob2
bubsymphu;bublbob2
bucaner;puckman
buccanrsa;buccanrs
buccanrsb;buccanrs
buckyaab;bucky
buckyea;bucky
buckyjaa;bucky
buckyuab;bucky
bulletd;bullet
buraiken;avengers
burnforco;burnforc
burningfh;burningf
burningfp;burningf
burningfpa;burningf
buzzard;gyrodine
bwingsa;bwings
bwingso;bwings
cabala;cabal
cabaluk;cabal
cabalus;cabal
cabalus2;cabal
cactus;sabotenb
cadashf;cadash
cadashg;cadash
cadashi;cadash
cadashj;cadash
cadashj1;cadash
cadashjo;cadash
cadashp;cadash
cadashu;cadash
calorieb;calorie
cameltrya;cameltry
cameltryau;cameltry
cameltryj;cameltry
candance;osman
candory;ponpoko
cannballv;cannball
canyonp;canyon
capbowl2;capbowl
capbowl3;capbowl
capbowl4;capbowl
capitol;pleiads
captcommb;captcomm
captcommb2;captcomm
captcommj;captcomm
captcommjr1;captcomm
captcommr1;captcomm
captcommu;captcomm
catt;mcatadv
cawingb2;cawing
cawingbl;cawing
cawingj;cawing
cawingr1;cawing
cawingu;cawing
cbusterj;cbuster
cbusterw;cbuster
cclimbr2a;cclimbr2
cencourt;passsht
centiped3;centiped
champwrj;champwr
champwru;champwr
changesa;changes
chasehqj;chasehq
chasehqju;chasehq
chasehqu;chasehq
checkmanj;checkman
chelnovj;chelnov
chelnovu;chelnov
chewing;luctoday
chikij;mtwins
chopliftbl;choplift
chopliftu;choplift
choppera;chopper
chopperb;chopper
chqflagj;chqflag
chukataij;chukatai
chukataiu;chukatai
circusc2;circusc
circusc3;circusc
circusc4;circusc
circuscc;circusc
circusce;circusc
citybombj;citybomb
citycona;citycon
ckongg;ckong
ckongmc;ckong
ckongs;ckong
clbowl;capbowl
cloakfr;cloak
cloakgr;cloak
cloaksp;cloak
cltchitrd;cltchitr
cltchitrj;cltchitr
cltchitrjd;cltchitr
cninja1;cninja
cninjabl;cninja
cninjau;cninja
cobracoma;cobracom
cobracomb;cobracom
cobracomj;cobracom
cobracomja;cobracom
cobracomjb;cobracom
commandob;commando
commandob2;commando
commandoj;commando
commandou;commando
commandou2;commando
condor;phoenix
condorn;phoenix
congoa;congo
contcircj;contcirc
contcircu;contcirc
contcircua;contcirc
contra1;contra
contrab;contra
contrabj;contra
contrabj1;contra
